"py/object","match_id","timestamp","score1","score2","players2__001","players2__002","players1__001","players1__002"
"core.FoosballMatch","a08e49ba","2016-12-06T13:09:43.347128","9","10","U0HTR4KRT","U0HTVTLBS","U0HTVEJKC","U0HTJ2DK6"
"core.FoosballMatch","39001e28","2016-12-16T15:41:36.798277","10","7","U0KA76231","U0HTQ6XQQ","U0J8ETRH7","U0JBNHJ3X"
"core.FoosballMatch","f22b7b89","2016-09-23T16:13:48.369019","4","10","U0HTQ6XQQ","U0J0XLJUD","U0HTJ2DK6","U0HTVEJKC"
"core.FoosballMatch","774f29ca","2016-09-07T13:53:34.682270","3","10","U0HTPM4P8","U0J8ETRH7","U1CUW4Z7S","U17V6C5K6"
"core.FoosballMatch","f0d18593","2016-09-23T12:54:22.606962","10","5","U0HTVEJKC","U0HTQ6XQQ","U0J13UGAF","U0JBNHJ3X"
"core.FoosballMatch","349b8a45","2016-09-28T15:41:25.156067","8","10","U0KA76231","U0HTQ6XQQ","U0HTSHTR9","U0HTVTLBS"
"core.FoosballMatch","560c9f0a","2016-08-17T13:06:24.049694","8","10","U0HTVTLBS","U0JBNHJ3X","U0HTJ2DK6","U0J8ETRH7"
"core.FoosballMatch","51e9ea78","2016-10-25T14:26:26.545013","10","7","U0J13UGAF","U0KA76231","U0JBNHJ3X","U0HTR4KRT"
"core.FoosballMatch","78caa399","2016-08-15T15:46:02.255249","10","9","U0HTRQ5HQ","U07V0F5AS","U0J8ETRH7","U0JBNHJ3X"
"core.FoosballMatch","056d6d48","2016-12-15T17:49:44.274155","10","9","U0HTQJMHN","U0HTPM4P8","U0HTQ6XQQ","U0HTVEJKC"
"core.FoosballMatch","d2b24cac","2016-10-19T13:59:53.296841","9","10","U17V6C5K6","U0J8ETRH7","U0KA76231","U1CUW4Z7S"
"core.FoosballMatch","4a2cebb4","2016-07-19T14:35:54.718312","10","5","U0J13UGAF","U0JBNHJ3X","U0J8ETRH7","U0HTPM4P8"
"core.FoosballMatch","8020be92","2016-12-01T12:55:42.526097","10","5","U0HTVEJKC","U0J0XLJUD","U0KCZ16LT","U0HTPUK8R"
"core.FoosballMatch","4dbdd201","2016-09-13T12:42:17.887775","9","10","U0JBNHJ3X","U0HTJ2DK6","U0J8ETRH7","U0HTVTLBS"
"core.FoosballMatch","eef43d2c","2016-07-29T10:46:55.724899","10","8","U0J0XLJUD","U0J8ETRH7","U0HTVTLBS","U0HTVEJKC"
"core.FoosballMatch","023eba43","2016-12-15T14:59:44.799181","8","10","U0KA76231","U0HTRQ5HQ","U0HTPS3JS","U0JBNHJ3X"
"core.FoosballMatch","0d2a8b6b","2016-08-22T12:07:30.880382","6","10","U0J0XLJUD","U0HTPS3JS","U0HTPM4P8","U0HTQ6XQQ"
"core.FoosballMatch","8f2d131e","2016-10-26T15:08:33.817466","10","8","U0KCZ16LT","U0HTVTLBS","U0HTRQ5HQ","U0JBNHJ3X"
"core.FoosballMatch","897df58c","2016-08-18T14:38:15.014492","10","9","U21CBD6KX","U0JBNHJ3X","U16DF5LQH","U0J8ETRH7"
"core.FoosballMatch","aa4a4470","2016-08-26T15:07:09.190419","7","10","U1CUW4Z7S","U0HTRQ5HQ","U0JBNHJ3X","U0J8ETRH7"
"core.FoosballMatch","3d762df0","2016-07-12T17:03:42.239006","10","6","U0HTSHTR9","U0JBNHJ3X","U0W5T83EK","U0J8ETRH7"
"core.FoosballMatch","bb7f5668","2016-10-07T13:24:26.219921","10","7","U1CUW4Z7S","U0JBNHJ3X","U0KA76231","U0J8ETRH7"
"core.FoosballMatch","76887285","2016-08-31T17:11:15.967639","10","7","U0HTPM4P8","U0HTQ6XQQ","U0HTQJMHN","U0HTVTLBS"
"core.FoosballMatch","782122a5","2016-12-22T17:33:56.653523","10","4","U0JBNHJ3X","U0HTVEJKC","U0J8ETRH7","U0KCZ16LT"
"core.FoosballMatch","72e2822e","2016-07-26T14:18:24.514599","3","10","U17V6C5K6","U0J8ETRH7","U0JBNHJ3X","U0KCZ16LT"
"core.FoosballMatch","454d3e09","2016-11-10T17:54:19.471544","10","8","U0J8ETRH7","U0KCZ16LT","U1CUW4Z7S","U0JBNHJ3X"
"core.FoosballMatch","3a40996a","2016-12-16T12:36:50.588823","7","10","U0JBNHJ3X","U0J8ETRH7","U0HTPS3JS","U0HTVEJKC"
"core.FoosballMatch","1e064ac9","2016-12-21T11:55:50.577106","9","10","U0HTR4KRT","U0HTPM4P8","U0HTSHTR9","U0HTVTLBS"
"core.FoosballMatch","d6a941f0","2016-08-02T13:14:13.540251","8","10","U0J0XLJUD","U0W5T83EK","U17V6C5K6","U0JBNHJ3X"
"core.FoosballMatch","9a04fb7d","2016-09-09T15:21:55.137532","5","10","U1CUW4Z7S","U0KA76231","U0J8ETRH7","U0J13UGAF"
"core.FoosballMatch","f202b702","2016-08-08T16:16:27.743955","2","10","U0JBNHJ3X","U0HTVEJKC","U0HTSHTR9","U0HTJ2DK6"
